,Unnamed: 0,Original_sentence,translated_sentence,predicted_summaries
0,50,['इंगलैंड का स्वास्थ्य वर्तमान स्थिति'],आज इंग्लैंड का स्वास्थ्य,आज इंग्लैंड में स्वास्थ्य की स्थिति काफी तेज़ी से बढ़ रहा है और इससे निपटने की कोशिशें जारी हैं.
1,51,"['आपने अक़्सर ब्रिटिश साम्राज़्यवाद को बुरा-भला कहा है क़्योंकि आप उसके नीचे मुसीबतें उठा रहे हैं, लेकिन क़्या आपने इस बात पर गौर किया है कि यह तो सारी दुनिया में हो रहा है और इसमें आपकी आवाज पर बेशक सबसे ज़्यादा एतराज है और आपकी आवाज सबसे ज़्यादा चोट करने वाली है.']","लेकिन क्या आपने सोचा है कि यह केवल एक प्रकटन है, निश्‍चय ही एक विश्‍व घटना की सबसे अनुचित और हिंसक प्रदर्शन है?",पाकिस्तान में रविवार को तीन लोगों की मौत हो गई और कई अन्य घायल हुए.
2,52,['उनके दर्प की यह स्थिति है कि यदि आप उनके सामने किसी और विज्ञान या खुरासान और ईरान में किसी विज्ञान का नाम लें तो वे आपको न केवल अज्ञानी बल्कि झूठा भी समझेंगे.'],"उनका घमंड ऐसा है कि, यदि आप उन्हें Kuyasson और Playsyson में किसी भी विज्ञान या विद्वान के बारे में बताते हैं, तो वे आपको लगता है कि आप एक पागल दूत और एक झूठा होने के लिए तैयार हैं।",ब्रिटेन के वैज्ञानिक जॉर्ज बुश और उनके सहयोगियों के बारे में बहुत कुछ बताते हैं.
3,53,['भारतीय सिविल सर्विस के सदसऋ-ऊण्श्छ्ष्-य के रूप में वह भारतीयों से इतना अभिनऋ-ऊण्श्छ्ष्-न बने और हर तरह से उनकी हालत सुधारने को इतना उतऋ-ऊण्श्छ्ष्-सुक रहे कि वह ब्रिटिश सरकार के समऋ-ऊण्श्छ्ष्-मुख बदनाम हो गये और आखिकार उनऋ-ऊण्श्छ्ष्-होंने सेवा से तऋ-ऊण्श्छ्ष्-यागपत्र दे दिया.'],"भारतीय नागरिक सेवा के एक सदस्य के रूप में, उसने अपनी पहचान आदिवासियों के साथ की, और अपनी सारी संपत्ति को सुधारने के लिए इतना उत्सुक था कि वह ब्रिटिश सरकार, के साथ घृणाजनक बन गया और आख़िरकार सेवा से इनकार कर दिया ।",ब्रितानी नागरिक सेवा के एक सदस्य ने अपनी पहचान बदलने के लिए ब्रिटिश सरकार से इनकार कर दिया है.
4,54,"['इस प्रकार, व्यवहार में भारत में, जैसे कि ग्रैनविल्ल आस्टिन द्वारा कहा गया है,? एक सहकारी संघ विद्यमान है जिसमें संसद का प्रभुत्व तो है परंतु इस कारण राज़्य कमजोर नहीं हैं?.']","इस प्रकार, अभ्यास में मौजूद है, जैसे ग्रेविल ऑस्टिन कॉल करना पसंद करता है, भारत में एक सहयोगदाता 'जो कमजोर राज्य में आवश्यकता के बिना नियमों की एक पूर्वनिर्धारितता उत्पन्‍न करता है.",ग्रेविल ऑस्टिन का अभ्यास भारत के विभिन्न राज्यों में नियमों के बिना किया जाता है.
5,55,"['कुछ सीरियलं ( लिट्ल मिर्ची थोड़ पीपर, सुकन्या ) में काम करने वाली तथा एक बार मिस इंड़िया स्पर्धा में भाग ले चुकी इस बाल की किस्मत खुल गई है.']","अपने -LBBB-LBBB के पीछे श्रृंखला की एक स्ट्रिंग है, सुसान पेथर, सुक्या - RRBER - एक बार, एक बार चूक इंडिया प्रतियोगिता-द-एली के पास हाल ही में भाग्य की एक जगह थी.",एक बार चूक इंडिया प्रतियोगिता-द-एली की श्रृंखला अब तक की सबसे बड़ी स्ट्रिंग है.
6,56,"['उदाहरण के लिए तीन प्रकार की घरेलू मक़्खी के नाम इस प्रकार हैं-मास्का डोमेZस्टिका जो सामान्यतया हमारे घरों में पाई जाने वाली मक़्खी है, भारतीय घरों में मिलने वाली दूसरी जाति है मस्का नेबलो और तीसरी मस्का विसिना']","उदाहरण के लिए, यहाँ परोका घरेलू पक्षी हैं जो हमारे घरों में आम हैं ।",दक्षिण अफ़्रीका में क़रीब तीन लाख लोगों की मौत हो गई है और कई अन्य मृत्यु हुई हैं.
7,57,['ठोस कचरे के प्रबंधन का वर्तमान तरीका है-शहर के विभिन्न हिस्से से कूड़ा-कचरा इकट्ठा करना और उसे शहर से दूर ढोकर ले जाना जहां इसे या तो जला दिया है अथवा उसकी कम्पोस्ट खाद बनायी जाती है अथवा ऐसे ही एक स्थान पर डाल दिया जाता है.'],"मौजूदा प्रबंधन का तरीक़ा है शहर के विभिन्‍न भागों से इनकार करना, उसे एक दूर स्थान पर ले जाना, जहाँ यह परिष्कार किया जाता है या फिर साफ़ किया जाता है ।",दक्षिण अफ़्रीका में कोरोना वायरस की वजह से लॉकडाउन की घोषणा की गई है.
8,58,['ठेलेप्होने 0114 279 6600'],टेलिफोन : 0114 2796600,معرفی بهترین مدل موبایل برای استفاده از گوشی - بدون โทรศัพท์ . لطفا توجه :
9,59,['फर्श पर नयी सामग्री बिछाने से पहले सारी पुरानी बिछाली व अन्य सामग्री अच्छी तरह से साफ कर दी जानी चाहिए.'],उसे अच्छी तरह साफ़ करना चाहिए ।,अफ्रीकी महिलाओं के लिए एक नई चीज़ तैयार होती है जिससे उन्हें अच्छी तरह साफ़ करना चाहिए.
